term	paraphrase
rétinopathie de la prématurité (RP)	est une maladie complexe des vaisseaux sanguins rétiniens en développement et est l'une des principales causes de cécité infantile évitable
facteurs de risque	grossesses multiples, l'apnée, l'hémorragie intracrânienne, l'anémie, le sepsis, la ventilation mécanique prolongée, les transfusions multiples et l'exposition à la lumière
rhinosinusite chronique	est une maladie fréquente, caractérisée par une inflammation de la muqueuse du nez et des sinus paranasaux entraînant une obstruction nasale, un écoulement nasal, une pression ou douleur faciale et la perte de l'odorat
rhinosinusite chronique	est une maladie fréquente, caractérisée par une inflammation de la muqueuse du nez et des sinus paranasaux entraînant une obstruction nasale, une rhinorrhée, une pression ou douleur faciale et la perte de l'odorat
corticoïde topique	intranasaux
mortalité périnatale	par exemple mortinaissance et mortalité néonatale
oligo-ovulation/anovulation	que l'on appellait les saignements utérins anormaux
trouble menstruel	et l'infertilité
trouble gastro-intestinal	effets indésirables dans toutes les études et pour toutes les variantes de RC à court terme
complication iatrogène	par exemple un cathétérisme central
SEP	sclérose en plaques
état de mal épileptique convulsif	défini comme une convulsion tonicoclonique durant au moins 30 minutes
traitement précoce	avant l'apparition de symptômes
effets indésirables	diarrhées, des vomissements, une diminution de l'appétit, une intolérance au glucose, des ballonnements et des problème de comportement alimentair
traitement conventionnel	les conseils sur l'amélioration de l'apport nutritionnel des aliments ou l'absence d'intervention spécifique
apport calorique et nutritionnel	total issu des suppléments caloriques protéiques oraux et de l'alimentation
asthme	est une maladie chronique courante dans le monde entier
type de douleur	aiguë ou chronique
massage	défini comme la manipulation de tissus mous utilisant les mains ou un dispositif mécanique
sécheresse buccale	et les troubles des glandes salivaires
trouble parkinsonien	rigidité et tremblements
grippe	est une maladie virale très contagieuse qui est particulièrement fréquente pendant les mois d'hiver
bien-être psychosocial	par exemple l'anxiété, la dépression, la culpabilité, la confiance en soi
progression de la maladie	un nouvel événement symptomatique du SIDA ou le décès
progression de la maladie	un nouvel événement symptomatique du SIDA ou la mort
facteur de croissance insulinomimétique humain recombinant de type 1 (rhIGF-1)	est un traitement modificateur de la maladie potentiel pour la sclérose latérale amyotrophique
dysarthrie	trouble du langage acquis suite à des lésions neurologiques et qui réduit l'intelligibilité de la parole en raison d'une faiblesse, d'un manque de précision, d'un ralentissement et d'un manque de contrôle de la coordination musculaire
dysménorrhée	est une affection gynécologique courante
interventions de manipulation vertébrale	par exemple chiropractie, ostéopathie ou physiothérapie manipulative
symptômes physiques	tels que l'exsudat abondant, les mauvaises odeurs, la douleur et le risque d'hémorragie
maladie de Kawasaki	est la cause la plus fréquente de maladie cardiaque acquise chez les enfants dans les pays développés
stratégie de rinçage des cathéters	par exemple le rinçage comparé à l'absence de rinçage, l'utilisation de différentes solutions de rinçage, modifier la fréquence, la durée, le volume, la concentration, la méthode d'administration
Agents de Santé Communautaires	défini comme tout personnel exerçant des fonctions liées à la prestation de soins médicaux, formé d'une certaine façon dans le contexte de l'intervention mais n'étant pas titulaire d'un certificat professionnel ou para-professionnel officiel ni d'un diplôme de l'enseignement supérieur
posologie du traitement	c'est-à-dire le nombre de séances de thérapie
sclérose latérale amyotrophique	 maladie  des motoneurones
pemphigoïde des muqueuses et l'épidermolyse bulleuse acquise	maladies bulleuses auto-immunes de la peau, acquises et rares
tumeurs du côlon de stade C de Dukes (stade III de la classification TNM)	c'est-à-dire les tumeurs ayant des métastases dans les ganglions lymphatiques régionaux, mais pas de dissémination métastatique
réduction tumorale préopératoire	c'est-à-dire néoadjuvante
trouble gastro-intestinal	notamment le syndrome du côlon irritable
en relativement bonne santé	c'est-à-dire maladie globalement en bonne condition physique, sans maladie manifeste
sclérose latérale amyotrophique	 maladie  du motoneurone
sclérose latérale amyotrophique	aussi appelée maladie  du motoneurone
sclérose latérale amyotrophique	 maladie  du motoneurone (SLA)
sclérose latérale amyotrophique	aussi appelée maladie neuromusculaire mortelle qui se caractérise par un affaiblissement progressif du muscle jusqu'à sa paralysie
lésions faciales, à la fois totales et spécifiques	c'est-à-dire comédons ouverts ou fermés, papules, pustules et nodule
typhoïde et la paratyphoïde	maladies fébriles dues à une infection bactérienne
blessure aux tendon	trouble musculo-squelettique courant, en particulier chez les athlètes
aphasie	décrit un trouble du langage associé à une lésion cérébrale
dysplasie développementale de la hanche (DDH) non corrigée	est associé à une morbidité à long terme caractérisée par des troubles de la marche, une douleur chronique et une arthrite dégénérative
adulte en soins palliatifs	c'est à dire les personnes ayant une maladie évolutive incurable ne réagissant plus à un traitement curatif, y compris les maladies cardiaques, respiratoires et neurologiques avancées (dont la démence)
efficacité contraceptive	c'est-à-dire taux de grossesses
trouble temporo-mandibulaire (TTM)	groupe de trouble qui affectent les articulations temporo-mandibulaires et les muscles de la mastication
otite moyenne aiguë suppurée	est l'une des maladies infectieuses les plus fréquentes chez l'enfant
démence vasculaire	est la deuxième forme de démence la plus courante après la maladie d'Alzheimer
démence mixte	est qualifiée de la combinaison de la démence vasculaire et de la maladie d'Alzheimer
déficit cognitif d'origine vasculaire	expression des troubles cognitifs importants sans perte de mémoire
inhibiteurs de la cholinestérase	comme la rivastigmine
démence vasculaire	est le deuxième type de démence le plus fréquent après celle provoquée par la maladie d'Alzheimer
démence mixte	nom de la démence vasculaire et la maladie d'Alzheimer sont couramment combinées
inhibiteurs de la cholinestérase	comme la galantamine
syndrome de Miller-Fisher	se caractérise par un trouble des mouvements oculaires (ophtalmoplégie), un manque de coordination (ataxie) et une perte de réflexes tendineux (aréflexie)
myotonie	connu sous le nom de Un retard anormal du relâchement des muscles squelettiques
neuroleptanalgésie	est un état de quiescence, d'altération de la conscience et d'analgésie produite par la prise d'un analgésique opioïde combiné avec un antipsychotique
myopie	entraine une vision trouble des objets éloignés
dyssynergie vésico-sphinctérienne (DVS)	est Le type de maladie du col de la vessie fonctionnelle le plus courant chez les patients souffrant d'une vessie neurogène
maladie neurologique causant la DVS	étaient la lésion de la moelle épinière (LME), la sclérose en plaques (SEP) ou la malformation congénitale
suppression androgénique (TSA)	visant à réduire la circulation de la testostérone sérique
hyperviscosité Chez les nouveau-nés	anomalies de la fonction du système nerveux central, une hypoglycémie, une diminution de la fonction rénale, une détresse cardiorespiratoire et des troubles de la coagulation
maladie de Crohn	se caractérise par un état de dérégulation de l'inflammation
arthrose	est l'une l'une des maladies de l'appareil locomoteur les plus répandues
aspirine	est l'antiplaquettaire prophylactique
trouble anxieux	groupe de pathologies potentiellement incapacitantes qui sont prévalentes pendant l'enfance et l'adolescence
sclérose latérale amyotrophique	 maladie du motoneurone
thérapie cognitivo-comportementale (TCC)	à recours à la relaxation, à la restructuration cognitive des pensées et à l'exposition à des situations aggravantes afin de favoriser l'habituation
